SKU ,Product Name
AC014,Piercing Pillow
AC016,STUDS Jewelry Box
CI002G,Connector Chain
CI002S,Connector Chain
FB085GTCL,Mini CZ Flatback Stud
FB085STCL,Mini CZ Flatback Stud
FB111G,Bow Flatback Stud
FB115GS,Two Tone Bow Flatback Stud
FB118GCL,Pear Dangle Flatback Stud
FB122GAM,Micro CZ Flatback Stud
FB122GAQ,Micro CZ Flatback Stud
FC009ST,6mm Double Clicker
FC010GT,8mm Double Clicker
FC010ST,8mm Double Clicker
FC011G,12mm Clicker
FC011S,12mm Clicker
FC012G_6,Pear Clicker 6mm
FC014G_10,10mm Double Clicker
FC014S_10,10mm Double Clicker
FC017SCL_10,Pave Clicker 10mm
FC022G_6,Pyramid Clicker 6mm
FCB001GT,8mm Barbell- PVD
FCB001ST,8mm Barbell- PVD
FI002GT,38mm Industrial Bar- PVD
FI002ST,38mm Industrial Bar- PVD
FL001GT_6,"6mm PVD Plated Labret, 4mm Disc."
FL001ST_6,"6mm PVD Plated Labret, 4mm Disc."
HP004G,Small Slim Hoop
HP005S,Medium Slim Hoop
HP010G,Small French Twist Hoop
HU005GGR,Mini Pave Huggie
HU005SCL,Mini Pave Huggie
HU006GCL,Small Pave Huggie
PB006S,Titanium Curved Barbell 10mm
PB012S,Titanium Industrial Bar 35mm
PB013S,Titanium Industrial Bar 42mm
PB014G,14k Industrial Bar 38mm
PC021GCL_10,14K Clicker Bezel Clear 10mm
PS099G,14K Star
PS110SCL,Titanium Marquise Clear
PS110SGR,Titanium Marquise Green
PS137KCL,14K CZ Clear 2.5mm
PS137KGR,14K CZ Green 2.5mm
PS155KCL,14K Stacked CZ Pearl
PS157KCL,14K Crown Clear
PS168KDI,14K Mini Diamond Yellow Gold
PS168WDI,14K Mini Diamond White Gold
PS170KCL,14K CZ Clear 4mm
PS171KPL,14K Pearl Daisy
PS173KCL,14K CZ Trinity Clear
PS175KCL,14K CZ Dangle Clear
PS175KPL,14K CZ Dangle Pearl
PS176GGR,14K Crown Green
PS177SCL,Titanium Crown Clear
PS182GRD,14K Enamel Heart
PS184SAB,Titanium Marquise Aurora Borealis
PS198KCL,14K Pear Clear
PS198KGR,14K Pear Green
PS201S,Titanium Daisy
PS202SCL,Titanium Stacked CZ Clear
PS202SPL,Titanium Stacked CZ Pearl
PS203KCL,14K Stacked CZ Clear
PS134KOP,14K Opal
PS138KOP,14K Marquise Opal
PS139KGR,14K Marquise Green
PS154KCL,14K Twinkle Clear
PS123SPK,Titanium Trinity Pink
PS177SGR,Titanium Crown Green
PC022SGR_8,Titanium Clicker Bezel Green 8mm
PS199KPI,14K Mini Pink Diamond Yellow Gold
PS200KPI,14K Stacked Pink Diamond Yellow Gold
PS202SGR,Titanium Stacked CZ Green
PS203KGR,14K Stacked CZ Green
PS207KCL,14K CZ Bow Piercing Stud
PS208KCL,14K CZ Bezel Cluster Piercing Stud
PS209K,14K Mini Solid Marquise Piercing Stud
Saline1,Saline Can
PS210KCL,14K Curved CZ Pear Piercing Stud
FC032G_5,5mm Clicker
FC032S_5,5mm Clicker
FC033G_5,5mm Double Clicker
HU146GCL,Mini Bezel Baguette Huggie
HU143SCL,CZ Bezel Huggie
HU140SCL,Pave Spike Huggie
HU145GCL,Micro Bezel Baguette Huggie